CID,CD_DESCRICAO
L234,Dermatite alergica de contato dev corantes
Q045,Megalencefalia
W763,Area p/a pratica de esportes e atletismo
W107,Fazenda
Q21,Malformacoes congen dos septos cardiacos
X947,Fazenda
L732,Hidradenite supurativa
K869,Doenc do pancreas SOE
W605,Areas de comercio e de servicos
A427,Septicemia actinomicotica
N906,Hipertrofia da vulva
N800,Endometriose do utero
K911,Sindr pos-cirurgia gastrica
W659,Local NE
J949,Afeccao pleural NE
W448,Outr locais espec
Z229,Portador de doenc infecc NE
T410,Anestesicos inalatorios
M154,Artrose erosiva
G619,Polineuropatia inflam NE
A159,Tuberc NE vias respir c/conf bacter histol
O337,Assist prest mae desprop dev outr deform fet
V755,Condutor acid trans
S202,Contusao do torax
Z532,Proced n realiz dev dec pac outr razoes e NE
A749,Infecc causada p/clamidias NE
Y773,Instrumentos materiais aparelhos cirurgicos
V606,Passageiro acid trans
Y030,Residencia
L032,Celulite da face
O694,Trab parto e parto complic p/vasa praevia
B381,Coccidioidomicose pulmonar cronica
V201,Passageiro acid n-trans
K056,Doenc periodontal SOE
T855,Complic mec disp prot impl enx gastrointest
E328,Outr doenc do timo
S357,Traum de vasos mult nivel abdome dorso pelve
N179,Insuf renal aguda NE
S637,Entorse e distensao de outr partes e NE mao
D356,Corpos aorticos e outr paraganglios
N161,Transt renais tubulo-interst doenc neoplas
C060,Mucosa oral
V754,Pessoa ao subir ou descer do veic
W508,Outr locais espec
O690,Trab parto e parto complic prolapso cordao
T824,Complic mecanica de cateter vascular dialise
Q321,Outr malformacoes congen da traqueia
O996,Doenc ap digestiv compl gravidez parto puerp
Y870,Sequelas de lesoes autoprovocadas intenc
V21,Motociclista traum colis veic pedal
Q418,Ausen atres esten cong out part esp int delg
Q179,Malformacao congen NE da orelha
E243,Sindr do ACTH ectopico
X843,Area p/a pratica de esportes e atletismo
M421,Osteocondrose vertebral do adulto
Y538,Outr subst que atuam prim ap gastrointest
Y613,Durante injecao ou vacinacao
X331,Habitacao coletiva
M721,Coxins interfalangicos
D531,Outr anemias megaloblasticas NCOP
Y793,Instrumentos materiais aparelhos cirurgicos
M73,Transt dos tec moles em doenc COP
H748,Outr transt espec do ouvido medio e mastoide
G733,Sindr miastenicas em outr doenc COP
T64,Efeito tox aflatox outr micotox contam alim
M83,Osteomalacia do adulto
X082,Escolas outr instit areas admin publica
X06,Exposicao combustao outr tipo roupa acessor
P94,Transt do tonus muscular do recem-nascido
X766,Areas industriais e em construcao
D391,Ovario
S781,Amput traum localizada entre joelho quadril
C820,Pequenas celulas clivadas folicular
F449,Transt dissociativo NE
Q793,Gastrosquise
B560,Tripanossomiase p/Trypanosoma gambiense
N911,Amenorreia secund
N068,Outr
I870,Sindr pos-flebite
V241,Passageiro acid n-trans
N748,Inflam pelvica femin em outr doenc COP
M052,Vasculite reumatoide
S330,Ruptura traum do disco intervertebral lombar
C45,Mesotelioma
M361,Artropatia em doenc neoplasicas classif
G952,Compressao NE de medula espinal
J84,Outr doenc pulmonares intersticiais
C18,Neopl malig do colon
D442,Gland paratireoide
J698,Pneumonite dev outr solidos e liquidos
E114,C/compl neurologicas
Q773,Condrodisplasia puntacta
Y44,Subst farm atuam prim s/constit sangue
Z969,Presenca de implante funcional NE
O662,Obstr trab parto p/feto excepc grande
H111,Degeneracoes e depositos da conjuntiva
D53,Outr anemias nutricionais
J38,Doenc das cordas vocais e da laringe NCOP
P112,Lesao cerebral NE dev traum de parto
S127,Frat mult da coluna cervical
I131,Doenc cardiaca e renal hipert c/insuf renal
Z228,Portador de outr doenc infecc
Q398,Outr malformacoes congen do esofago
H349,Oclusao vascular retiniana NE
P90,Convulsoes do recem-nascido
W368,Outr locais espec
I229,Infarto do miocardio recorrente localiz NE
H950,Colesteatoma recorr cavidade pos-mastoidect
M66,Ruptura espontanea de sinovia e de tendao
P027,Fet rec-nasc afetados p/corioamnionite
J030,Amigdalite estreptococica
C091,Pilar amigdaliano
O922,Outr afeccoes da mama e as NE assoc ao parto
B50,Malaria p/Plasmodium falciparum
W427,Fazenda
T063,Traum vasos sang envolv regioes mult corpo
N731,Parametrite e celulite pelvicas cronicas
Z913,Historia pessoal ciclo vigilia-sono anormal
E109,S/complic
M012,Artrite na doenc de Lyme
A158,Outr form tuberc via resp c/conf bact hist
Q718,Outr defeitos de reducao do membro super
L402,Acrodermatite continua
N922,Menstruacao excessiva na puberdade
Y102,Escolas outr instit areas admin publica
W668,Outr locais espec
I720,Aneurisma da arteria carotida
Z313,Outr metodos assistidos de fertilizacao
K851,Pancreatite aguda biliar
C170,Duodeno
Y633,Exposicao inadv rad durante prest cuid medic
I339,Endocardite aguda NE
A21,Tularemia
H36,Transt da retina em doenc COP
V175,Passageiro em acid trans
Z632,Suporte familiar inadequado
S565,Traum outr musc extens tendoes niv antebraco
M828,Osteoporose em outr doenc COP
B42,Esporotricose
V941,Navio de passageiros
B150,Hepatite A c/coma hepatico
L66,Alopecia cicatricial
M508,Outr transt de discos cervicais
V487,Pessoa viajando ext veic acid trans
C20,Neopl malig do reto
A539,Sifilis NE
S397,Outr traum mult do abdome do dorso e pelve
X080,Residencia
X360,Residencia
S862,Traum musc tend grupo musc ant nivel perna
F959,Tique NE
E702,Disturbios do metabolismo da tirosina
X447,Fazenda
K63,Outr doenc do intestino
V703,Ocupante NE acid n-trans
W767,Fazenda
R501,Febre persistente
C796,Neopl malig secund do ovario
X677,Fazenda
T357,Geladura de grau NE de localiz NE
O059,Completo ou NE s/complic
Y088,Outr locais espec
W285,Areas de comercio e de servicos
T265,Corrosao da palpebra e da regiao periocular
Q012,Encefalocele occipital
C321,Regiao supraglotica
Y141,Habitacao coletiva
V537,Pessoa viajando ext veic acid trans
C476,Nervos perifericos do tronco
S048,Traum de outr nervos cranianos
X110,Residencia
C543,Fundo do utero
D831,Imunodef com var pred transt imunorreg cel T
Z205,Contato exposicao a hepatite viral
H252,Catarata senil tipo Morgagni
Q704,Polissindactilia
G409,Epilepsia NE
X759,Local NE
T384,Anticoncepcionais orais
D65,Coagulacao intravascular disseminada
V959,Acid de aeronave NE causando traum a ocup
H908,Perda audicao mista conducao e neuro-sens NE
W344,Rua e estrada
G821,Paraplegia espastica
T096,Amput traum do tronco nivel NE
F165,Transt psicotico
Q728,Outr defeitos p/reducao de membros infer
N99,Transt trato geniturinario pos-proced NCOP
H13,Transt da conjuntiva em doenc COP
Z922,Hist pess uso longo prazo outr medicamentos
X818,Outr locais espec
W787,Fazenda
B361,Tinha negra
C153,Terco super do esofago
C943,Leucemia de mastocitos
D287,Outr orgaos genitais femin espec
P611,Policitemia neonatal
O101,Doen card hiper pre-ex comp grav parto puerp
S849,Traum de nervo NE ao nivel da perna
Y153,Area p/a pratica de esportes e atletismo
P365,Septicemia do recem-nascido dev anaerobios
W053,Area p/a pratica de esportes e atletismo
Z046,Exame psiquiatr geral requerido p/autoridade
M610,Miosite ossificante traum
G532,Paralisias mult nervos cranianos sarcoidose
Z029,Exame NE c/finalidades administrativas
G98,Outr transt do sist nervoso NCOP
N28,Outr transt do rim e do ureter NCOP
T633,Veneno de aranha
K402,Hernia inguinal bilat s/obstr ou gangrena
Y536,Antidiarreicos
M620,Diastase de musculo
N910,Amenorreia prim
Z27,Necess imuniz assoc contra comb doenc infecc
Q838,Outr malformacoes congen da mama
X866,Areas industriais e em construcao
C939,Leucemia monocitica NE
G538,Outr transt nervos cranianos outr doenc COP
V880,Colis automovel e veic a motor 2 3 rodas
H314,Descolamento da coroide
D142,Traqueia
K134,Lesoes granulomat granulomatoid mucosa oral
D01,Carcimona in situ de outr orgaos digestivos
T214,Corrosao do tronco grau NE
V693,Ocupante acid NE e n-trans
X173,Area p/a pratica de esportes e atletismo
O150,Eclampsia na gravidez
I790,Aneurisma da aorta em doenc COP
K404,Hernia inguinal unilateral ou NE c/gangrena
C241,Ampola de Vater
F158,Outr transt mentais ou comport
V477,Pessoa viajando ext veic acid trans
L43,Liquen plano
D100,Labios
X324,Rua e estrada
G519,Transt NE do nervo facial
S070,Lesao p/esmag da face
O84,Parto mult
K20,Esofagite
J662,Canabinose
V340,Condutor acid n-trans
O682,Trab part part anor frq card fet mec liq amn
W913,Area p/a pratica de esportes e atletismo
Z740,Mobilidade reduzida
S880,Amput traum ao nivel do joelho
Z916,Historia pessoal de outr traumas fisicos
N42,Outr afeccoes da prostata
Q447,Outr malformacoes congen do figado
H546,Perda nao qualificada da visao em um olho
O269,Afeccoes ligadas a gravidez NE
K262,Aguda c/hemorragia e perfuracao
C693,Coroide
M43,Outr dorsopatias deformantes
J312,Faringite cronica
V680,Condutor acid n-trans
I64,Acid vasc cerebr NE como hemorrag isquemico
Y251,Habitacao coletiva
Y226,Areas industriais e em construcao
Z590,Falta de domicilio fixo
P051,Pequeno p/a idade gestacional
O228,Outr complic venosas na gravidez
X319,Local NE
H356,Hemorragia retiniana
X19,Contato outr fontes calor subst quentes NE
W59,Mordedura ou esmag provocado p/outr repteis
G991,Outr transt sist nervoso autonomo doenc COP
M174,Outr gonartroses secund bilaterais
X01,Expos fogo n-contr fora edif out tipo constr
Z74,Probl relac depend pess q oferece cuid saude
S525,Frat da extremidade distal do radio
W806,Areas industriais e em construcao
Q279,Malformacao congen NE do sist vasc perif
N17,Insuf renal aguda
M084,Artrite juvenil pauciarticular
M311,Microangiopatia trombotica
S462,Traum do musculo e tendao outr partes biceps
D223,Nevo melanocitico outr partes e NE da face
H431,Hemorragia do humor vitreo
V135,Passageiro em acid trans
L510,Eritema multiforme nao bolhoso
F681,Prod delib ou simul sint incapac fisic psic
E52,Defic de niacina
Q613,Rim policistico NE
D150,Timo
R453,Apatia e desinteresse
E104,C/compl neurologicas
G250,Tremor essencial
S379,Traum de orgao pelvico NE
W887,Fazenda
K035,Ancilose dentaria
X217,Fazenda
C511,Pequenos labios
X726,Areas industriais e em construcao
Y021,Habitacao coletiva
H709,Mastoidite NE
B202,Doenc p/HIV result em doenc citomegalica
T52,Efeito toxico de solventes organicos
O641,Obstr trab parto dev apresentacao pelvica
N483,Priapismo
K754,Hepatite autoimune
Y220,Residencia
I603,Hemorragia subarac prov arteria comunic post
W788,Outr locais espec
P148,Out les out part sist nerv perif traum parto
O365,Assist prestada a mae p/insuf cresc fetal
W906,Areas industriais e em construcao
F258,Outr transt esquizoafetivos
Y525,Outr drogas anti-hipertensivas NCOP
D74,Metemoglobinemia
B68,Infestacao p/Taenia
Z134,Exame esp rastr alguns transt desenv infanc
X41,Env ac anticon sed hipn antipark psicot NCOP
M189,Artrose NE prim artic carpometacarpiana
P928,Outr problemas de alimentacao recem-nascido
Q688,Outr deform osteomusculares congen
N030,Anormalidade glomerular minor
E75,Disturb metab esfingolip e outr depos lipid
K85,Pancreatite aguda
D610,Anemia aplastica constitucional
W551,Habitacao coletiva
Y089,Local NE
A68,Febres recorrentes
Y771,Disp p/fins terap aparelhagem reabilitacao
B510,Malaria p/Plasmodium vivax c/rotura do baco
C761,Torax
S333,Luxacao outr partes e NE coluna lombar pelve
T431,Antidepressivos inibidores monoaminooxidase
P59,Ictericia neonatal dev outr causas e as NE
R432,Parageusia
M170,Gonartrose prim bilateral
D618,Outr anemias aplasticas espec
X537,Fazenda
N137,Uropatia assoc a refluxo vesico-ureteral
Q148,Outr malform congen camara posterior olho
X100,Residencia
Z988,Outr estados pos-cirurgicos espec
T814,Infecc subsequente a proced NCOP
G902,Sindr de Horner
K93,Transt de outr orgaos digestivos doenc COP
D157,Outr orgaos intratoracicos espec
F811,Transt especifico da soletracao
R291,Meningismo
X158,Outr locais espec
M162,Coxartrose bilateral resultante de displasia
V545,Condutor acid trans
V142,Ciclista NE em acid n-trans
Z800,Historia familiar neopl malig org digestivos
P08,Transt relac gest prolong peso elevado nasc
H801,Otosclerose q comprom janela oval oblit
B975,Reovirus como doenc class outr cap
V883,Colis entre automovel e onibus
Z907,Ausencia adquir de orgaos genitais
K287,Cronica s/hemorragia ou perfuracao
M436,Torcicolo
A31,Infecc dev outr micobacterias
D039,Melanoma in situ NE
Z860,Historia pessoal de outr neoplasias
X505,Areas de comercio e de servicos
W203,Area p/a pratica de esportes e atletismo
X374,Rua e estrada
L00,Sindr pele escaldada estafilococ recem-nasc
O832,Outr form de parto c/o auxilio manipulacao
Z201,Contato exposicao a tuberc
S929,Frat do pe NE
S99,Outr traum e os NE do tornozelo e do pe
H838,Outr transt espec do ouvido interno
Z385,Gemeos NE quanto ao local de nascimento
I605,Hemorragia subarac prov arteria vertebral
I214,Infarto agudo subendocardico do miocardio
H164,Neovascularizacao da cornea
K312,Estenose e estreitamento ampulheta estomago
O814,Parto p/vacuo-extrator
W160,Residencia
M141,Artropatia dep cristais outr doenc metab COP
X047,Fazenda
K380,Hiperplasia do apendice
Q17,Outr malformacoes congen da orelha
M228,Outr transt da rotula
H040,Dacrioadenite
A064,Abscesso amebiano do figado
W847,Fazenda
T17,Corpo estranho no trato respirat
B814,Helmintiases intestinais mistas
M253,Outr instabilidades articulares
S141,Outr traum e os NE da medula cervical
C468,Sarcoma de Kaposi de mult orgaos
C211,Canal anal
R520,Dor aguda
M218,Outr deform adquir espec dos membros
Y237,Fazenda
S480,Amput traum da articulacao do ombro
I421,Cardiomiopatia obstrutiva hipertrofica
Q700,Coalescencia dos dedos
D320,Meninges cerebrais
E70,Disturbios metabolism aminoacidos aromaticos
M312,Granuloma da linha media letal
V411,Passageiro acid n-trans
A151,Tuberc pulmonar c/conf somente p/cultura
S31,Ferim do abdome do dorso e da pelve
X35,Vitima de erupcao vulcanica
R463,Hiperatividade
Q335,Tec ectopico intrapulmonar
P35,Doenc virais congen
V766,Passageiro acid trans
Y900,Alcoolemia infer a 20 mg/100 ml
W333,Area p/a pratica de esportes e atletismo
O309,Gestacao mult NE
G113,Ataxia cerebelar c/deficit na reparacao DNA
P129,Lesao NE do couro cabeludo dev traum parto
D59,Anemia hemolitica adquir
J80,Sindr do desconforto respirat do adulto
I610,Hemorragia intracerebr hemisf subcortical
N432,Outr hidrocele
E228,Outr hiperfuncoes da hipofise
G439,Enxaqueca s/especificacao
X119,Local NE
L742,Miliaria profunda
Y236,Areas industriais e em construcao
S729,Frat do femur parte NE
Z010,Exame dos olhos e da visao
Z33,Gravidez como achado casual
I311,Pericardite constritiva cronica
T567,Berilo e seus compostos
K43,Hernia ventral
T934,Sequelas de traum de nervo do membro infer
E853,Amiloidose sistemica secund
Q419,Ausen atres esten cong int delg s/espec loc
C154,Terco medio do esofago
W332,Escolas outr instit areas admin publica
B810,Anisaquiase
S71,Ferim do quadril e da coxa
M125,Artropatia traum
V583,Ocupante NE acid n-trans
Q283,Outr malformacoes dos vasos cerebrais
M678,Outr transt espec da sinovia e do tendao
N368,Outr transt espec da uretra
Z094,Exame seguim apos tratamento de frat
S36,Traum de orgaos intra-abdominais
A01,Febres tifoide e paratifoide
T244,Corros quadr membr inf exc tornoz pe grau NE
C463,Sarcoma de Kaposi dos ganglios linfaticos
K729,Insuf hepatica SOE
R455,Hostilidade
T473,Laxativos salinos e osmoticos
Z897,Ausencia adquir de ambos membros infer
B978,Outr agent virais como doenc class outr cap
S518,Ferim de outr partes do antebraco
F731,Compr signif comport req vigilancia ou trat
S060,Concussao cerebral
A543,Infecc gonococica do olho
Y733,Instrumentos materiais aparelhos cirurgicos
X339,Local NE
L411,Pitiriase liquenoide cronica
N144,Nefropatia toxica NCOP
K227,Esôfago de Barret
S853,Traum da veia grande safena ao nivel perna
X264,Rua e estrada
P149,Lesao NE sist nerv perif dev traum de parto
H02,Outr transt da palpebra
T864,Falencia ou rejeicao de transplante figado
X029,Local NE
E141,C/cetoacidose
N036,Doenc de deposito denso
H341,Oclusao da arteria retiniana central
K721,Insuf hepatica cronica
O065,Compl ou NE complic inf trato gen org pelvic
E874,Disturbio misto do equilibrio acido-basico
V584,Pessoa ao subir ou descer do veic
Z824,Hist fam doenc isq coracao out doenc ap circ
P393,Infecc neonatal do trato urinario
D34,Neopl benig da gland tireoide
D462,Anemia refrataria c/excesso de blastos
X952,Escolas outr instit areas admin publica
S567,Traum musculos tendoes mult nivel antebraco
X959,Local NE
M91,Osteocondrose juvenil do quadril e da pelve
M831,Osteomalacia senil
I774,Sindr de compressao da arteria celiaca
X278,Outr locais espec
W123,Area p/a pratica de esportes e atletismo
A680,Febre recorrente transm p/piolhos
O421,Ruptura premat membr inic trab parto dep 24h
V240,Condutor acid n-trans
T536,Outr deriv halog hidrocarbonetos alifaticos
Z097,Exame seguim apos trat combinado outr afecc
H94,Outr transt do ouvido em doenc COP
Q123,Afaquia congen
W905,Areas de comercio e de servicos
T620,Ingestao de cogumelos
F527,Apetite sexual excessivo
X659,Local NE
Z595,Pobreza extrema
Y097,Fazenda
Y016,Areas industriais e em construcao
J34,Outr transt do nariz e dos seios paranasais
D25,Leiomioma do utero
Y575,Subst utilizadas como contraste radiologia
C93,Leucemia monocitica
F513,Sonambulismo
M762,Esporao da crista iliaca
S665,Traum musc intrins tend out ded niv punh mao
G910,Hidrocefalia comunicante
M152,Nodulos de Bouchard
I130,Doenc cardiaca e renal hipert c/insufic card
X780,Residencia
V434,Pessoa ao subir ou descer do veic
I612,Hemorragia intracerebral hemisferica NE
T267,Corrosao c/result rupt destruic globo ocular
K633,Ulcera do intestino
V85,Ocup veic mot esp constr traum acid tansp
N025,Glomerulonefrite mesangiocapilar difusa
P558,Outr doenc hemoliticas feto e recem-nascido
K570,Doenc divert intest delgado c/perfur absces
X686,Areas industriais e em construcao
T446,Antagonistas alfa-adrenorreceptores NCOP
E30,Transt da puberdade NCOP
X636,Areas industriais e em construcao
B80,Oxiuriase
M966,Frat osso subs impl ortop prot art placa oss
T440,Agentes anticolinesterase
A398,Outr infecc p/meningococos
E859,Amiloidose NE
C83,Linfoma nao-Hodgkin difuso
W49,Exposicao outr forcas mecan inanimadas e NE
L444,Acrodermatite papular infantil
S87,Traum p/esmag da perna
Y362,Oper guerra envolv outr explosoes fragmentos
W146,Areas industriais e em construcao
X281,Habitacao coletiva
L303,Dermatite infectada
T325,Corrosoes envolv 50-59% da superf corporal
T402,Outr opiaceos
V314,Pessoa ao subir ou descer do veic
T565,Zinco e seus compostos
X906,Areas industriais e em construcao
T056,Amput traum de membros super infer qq comb
S723,Frat da diafise do femur
M058,Outr artrites reumatoides soro-positivas
R190,Massa tumoracao tumefacao intra-abdom pelv
X275,Areas de comercio e de servicos
Y034,Rua e estrada
V134,Condutor em acid trans
M615,Outr ossificacao de musculo
J39,Outr doenc das vias aereas super
B56,Tripanossomiase africana
N833,Atrofia adquir do ovario e trompa de Falopio
H359,Transt da retina NE
D849,Imunodeficiencia NE
K829,Doenc da vesicula biliar SOE
Y623,Durante injecao ou vacinacao
A305,Hanseniase lepromatosa
W707,Fazenda
Q669,Deform congen NE do pe
K915,Sindr pos-colecistectomia
G839,Sindr paralitica NE
M70,Transt tec moles relac uso excess e pressao
T385,Outr estrogenos e progestagenos
S837,Traum de estruturas mult do joelho
X128,Outr locais espec
S121,Frat da segunda vertebra cervical
W129,Local NE
X393,Area p/a pratica de esportes e atletismo
X690,Residencia
C158,Lesao invasiva do esofago
F002,Demencia doenc Alzheimer form atipica mista
F948,Outr transt do funcionamento social infancia
W536,Areas industriais e em construcao
Y413,Outr drogas antiprotozoarios
J677,Doenc pulmonar dev sist ar cond umidif ar
V867,Pessoa viajando ext veic acid n-trans
J121,Pneumonia dev virus respirat sincicial
Q84,Outr malformacoes congen do tegumento
B403,Blastomicose cutanea
O340,Assist a mae p/malformacao congen do utero
M200,Deform de dedos das maos
W000,Residencia
Q564,Sexo indeterminado NE
T179,Corpo estranho no trato respirat parte NE
W011,Habitacao coletiva
L920,Granuloma anular
A672,Lesoes tard da pinta
X203,Area p/a pratica de esportes e atletismo
X155,Areas de comercio e de servicos
T442,Bloqueadores ganglionares NCOP
D011,Juncao retossigmoidea
C832,Misto de pequenas e grandes celulas
Y514,Agonistas predom alfa-adrenorreceptores NCOP
O639,Trabalho de parto prolongado NE
I620,Hemorragia subdural
J029,Faringite aguda NE
S24,Traum nervos e medula espinhal nivel torax
L139,Doenc bolhosa NE
W640,Residencia
V395,Passageiro colis outr veic NE mot acid trans
M031,Artropatia pos-infecc na sifilis
A800,Poliomielite paral aguda assoc virus vacinal
W381,Habitacao coletiva
E309,Transt NE da puberdade
J181,Pneumonia lobar NE
T532,Tricloroetileno
X899,Local NE
X389,Local NE
Z260,Necess imuniz contra a leishmaniose
H04,Transt do aparelho lacrimal
P742,Disturbios equilibrio sodio recem-nascido
I451,Outr form de bloqueio de ramo direito e NE
S67,Lesao p/esmag do punho e da mao
Y278,Outr locais espec
M080,Artrite reumatoide juvenil
M941,Policondrite recidivante
V559,Ocupante NE acid trans
J961,Insuf respirat cronica
S931,Luxacao de artelhos
C068,Lesao invasiva outr partes e partes NE boca
F34,Transt de humor persistentes
L518,Outr form de eritema multiforme
O357,Assist prest mae lesao fet caus out proc med
E709,Disturbio NE metab aminoacidos aromaticos
Y849,Proced medico NE
F652,Exibicionismo
Z119,Exame esp rastr doenc infecc e parasit NE
I289,Doenc NE dos vasos pulmonares
Z769,Pessoa cont serv saude em circunstancias NE
P910,Isquemia cerebral neonatal
I681,Arterite cerebral em doenc infecc e parasit
X310,Residencia
E642,Sequelas da defic de vitamina C
W026,Areas industriais e em construcao
S450,Traum da arteria axilar
Z518,Outr cuidado medico espec
C773,Ganglios linfaticos axilares e membros super
X772,Escolas outr instit areas admin publica
Z834,Hist fam outr doenc endocr nutr e metab
D315,Gland e dos canais lacrimais
G411,Estado de pequeno mal epileptico
F070,Transt organico da personalidade
S950,Traum da arteria dorsal do pe
C793,Neopl malig secund encefalo e mening cerebr
Z71,Pess cont serv saud outr acons cons med NCOP
S407,Traum superf mult do ombro e do braco
G729,Miopatia NE
V230,Condutor acid n-trans
L86,Ceratodermia em doenc COP
O348,Assist prest mae p/outr anorm org pelvicos
Q100,Ptose congen
H018,Outr inflam espec da palpebra
V770,Condutor acid n-trans
T852,Complic mecanica de lente intraocular
Z245,Necess imuniz somente contra a rubeola
T698,Outr efeitos espec de temperatura reduzida
V752,Pessoa viajando ext veic acid n-trans
V860,Condutor acid trans
X27,Contato c/outr animais venenosos espec
Q62,Anom cong obstr pelv renal malf cong ureter
W106,Areas industriais e em construcao
E053,Tireotoxicose caus p/tec tireoid ectopico
N005,Glomerulonefrite mesangiocapilar difusa
G512,Sindr de Melkersson
M130,Poliartrite NE
N280,Isquemia e infarto renal
Z808,Hist familiar neopl malig outr org aparelhos
A000,Colera dev Vibrio cholerae 01 biot cholerae
T253,Queim de 3.grau do tornozelo e do pe
G132,Atrof sist q afet prim sist nerv centr mixed
A541,Inf gon tr genit inf c/abs periur/gland aces
C60,Neopl malig do penis
Q729,Defeito NE p/reducao do membro infer
W84,Riscos NE a respiracao
Z270,Necess imuniz contra colera febr tif paratif
K520,Gastroenterite e colite dev radiacao
C944,Panmielose aguda
C910,Leucemia linfoblastica aguda
Y34,Fatos ou eventos NE e intenc nao determinada
X672,Escolas outr instit areas admin publica
V301,Passageiro acid n-trans
V172,Ciclista NE em acid n-trans
A410,Septicemia p/Staphylococcus aureus
D429,Meninges NE
W769,Local NE
V971,Pessoa traum embarcar desembarcar aeronave
B453,Criptococose ossea
V899,Acid veic NE
Y566,Medic prep usados em otorrinolaringologia
C530,Endocervix
V862,Pessoa viajando ext veic acid trans
H708,Outr mastoidites e afeccoes relac mastoidite
C382,Mediastino posterior
V55,Ocup caminhon traum colis trem veic ferrov
Y781,Disp p/fins terap aparelhagem reabilitacao
Q920,Trissomia cromoss inteiro n-disjuncao meiot
X121,Habitacao coletiva
M000,Artrite e pioliartrite estafilococicas
Q331,Lobo pulmonar supranumerario
Q430,Diverticulo de Meckel
I718,Aneurisma da aorta de localiz NE roto
B552,Leishmaniose cutaneo-mucosa
M729,Transt fibroblastico NE
V17,Ciclista traum colis objeto fixo ou parado
Z360,Rastr de anomalias cromossomicas
M341,Sindr CREST
I600,Hemorragia subarac prov sifao bifurc carotid
T913,Sequelas de traum de medula espinhal
X398,Outr locais espec
W704,Rua e estrada
A505,Outr form tard e sintomat sifilis congen
K40,Hernia inguinal
L12,Penfigoide
C967,Outr neop mal espec tec linf hematop e relac
W808,Outr locais espec
A061,Amebiase intestinal cronica
L58,Radiodermatite
V432,Pessoa viajando ext veic acid n-trans
S134,Distensao e entorse da coluna cervical
S436,Entorse e distensao artic esternoclavicular
Z040,Teste p/alcool e p/drogas no sangue
T444,Agonistas princ alfa-adrenorreceptores NCOP
S999,Traum NE do tornozelo e do pe
I248,Outr form doenc isquemica aguda do coracao
Q87,Outr sindr c/malform cong q acomet mult sist
S09,Outr traum da cabeca e os NE
C786,Neopl malig secund retro- e peritonio
V692,Ocupante NE colis out veic NE mot ac n-trans
T650,Cianetos
F41,Outr transt ansiosos
Z304,Supervisao uso medic anticoncepcionais
O730,Retencao da placenta s/hemorragia
M72,Transt fibroblasticos
N915,Oligomenorreia NE
Z088,Exame seguim apos outr trat p/neopl malig
S801,Contusao de outr partes e de partes NE perna
R831,Nivel hormonal anormal
P831,Eritema toxico neonatal
I349,Transt nao-reumaticos da valva mitral NE
M236,Outr rupturas espontaneas ligamentos joelho
Y299,Local NE
M029,Artropatia reacional NE
B49,Micose NE
S449,Traum de nervo NE ao nivel do ombro e braco
V803,Colis veic mot de 2 ou 3 rodas
C503,Quadrante infer interno da mama
Z853,Historia pessoal de neopl malig de mama
Y560,Drog antifung antiinf antiinfl uso loc NCOP
R84,Achados anormais mat prov org respirat torax
A393,Meningococcemia cronica
B573,Doenc de Chagas c/compr aparelho digestivo
M608,Outr miosites
G22,Parkinsonismo em doenc COP
M48,Outr espondilopatias
J92,Placas pleurais
P371,Toxoplasmose congen
T65,Efeito toxico de outr subst e as NE
L552,Queim solar de 3.grau
O85,Infecc puerperal
G553,Compressoes raizes plexos nerv outr dorsopat
W73,Outr afogamentos e submersao espec
L813,Manchas cafe-com-leite
Q186,Macroqueilia
C443,Pele de outr partes e de partes NE da face
W69,Afogamento e submersao em aguas naturais
Y42,Hormonios subst sintet antagonistas NCOP
G543,Transt das raizes toracicas NCOP
Q402,Outr malformacoes congen espec do estomago
K862,Cisto do pancreas
J16,Pneumonia dev out microorg infecc espec NCOP
M953,Deform adquir do pescoco
W209,Local NE
Z432,Cuidados a ileostomia
F738,Outr comprometimentos do comport
G461,Sindr da arteria cerebral anterior
I842,Hemorroidas internas s/complic
B338,Outr doenc espec p/virus
Y72,Disp utiliz otorrino assoc incid adversos
E131,C/cetoacidose
F526,Dispareunia nao-organica
K742,Fibrose hepatica c/esclerose hepatica
W401,Habitacao coletiva
A528,Sifilis tard latente
W260,Residencia
F648,Outr transt da identidade sexual
Q438,Outr malformacoes congen espec do intestino
Z132,Exame especial rastr de transt nutricionais
A834,Encefalite australiana
S10,Traum superf do pescoco
Z603,Dificuldade de aculturacao
D419,Orgao urinario NE
Z904,Ausencia adquir outr partes trato digestivo
T472,Laxativos estimulantes
M46,Outr espondilopatias inflam
M71,Outr bursopatias
Y718,Disp diversos incl combinacoes NCOP
T292,Queim mult s/menc queim ultrapass 2.grau
Q451,Pancreas anular
O878,Outr complic venosas no puerperio
Y353,Intervencao legal envolv uso obj contund
M703,Outr bursites do cotovelo
W378,Outr locais espec
Y54,Subst atuam prim metab agua sais min ac uric
C475,Nervos perifericos da pelve
Z138,Exame especial rastr outr doenc transt espec
T421,Iminostilbenos
S129,Frat do pescoco parte NE
D820,Sindr de Wiskott-Aldrich
B38,Coccidioidomicose
F30,Episodio maniaco
J05,Laringite obstrutiva aguda e epiglotite
X575,Areas de comercio e de servicos
M835,Outr osteomalacias do adulto induz p/drogas
S273,Outr traum do pulmao
M493,Espondilopatia outr doenc infecc parasit COP
